,0,0,1,2,3,4,0,0
0,2019-01-14,0.0,0.0,0.0,0.0,0.0,9.1,-33.16255
1,2019-01-15,0.0,0.0,0.0,0.0,0.0,3.3,-33.16255
2,2019-01-16,0.0,0.0,4.801037277147488,0.0,0.0,9.1,-33.02759
3,2019-01-17,0.0,0.0,2.400518638573744,0.0,0.0,3.2,-32.69775
4,2019-01-18,0.0,0.0,0.0,0.0,0.0,9.1,-32.701942
5,2019-01-19,0.0,0.0,0.0,0.0,0.0,9.1,-32.921764
6,2019-01-20,0.0,0.0,0.0,0.0,0.0,3.2,-32.98025
7,2019-01-21,0.0,0.0,0.0,0.0,0.0,3.3,-33.01391
8,2019-01-22,0.0,0.0,9.602074554294976,0.0,0.0,14.999999999999998,-32.871334
9,2019-01-23,0.0,0.0,0.0,0.0,0.0,3.3,-32.316704
10,2019-01-24,0.0,0.0,0.0,0.0,0.0,9.1,-32.515118
11,2019-01-25,0.0,0.0,0.0,0.0,0.0,9.415,-32.857872
12,2019-01-26,0.0,0.0,0.0,0.0,0.0,3.257,-32.785923
13,2019-01-27,0.0,0.0,0.0,0.0,0.0,9.112,-32.821014
14,2019-01-28,0.0,0.0,0.0,0.0,0.0,3.273,-33.08928
15,2019-01-29,0.0,0.0,14.40311183144246,0.0,0.0,9.145,-32.519974
16,2019-01-30,0.0,0.0,0.0,0.0,0.0,3.305,-31.742212
17,2019-01-31,0.0,0.0,0.0,0.0,0.0,3.252,-32.29971
18,2019-02-01,174.74564686737185,5.196912280701754,0.0,0.0,0.0,9.16,-31.363264
19,2019-02-02,0.0,0.0,0.0,0.0,0.0,3.3,-33.019318
20,2019-02-03,0.0,0.0,0.0,0.0,0.0,9.142,-30.941498
21,2019-02-04,273.1656088961215,90.42627368421051,444.0959481361426,443.0471356055112,362.2304347826087,14.983,48.9909
22,2019-02-05,0.0,0.0,0.0,0.0,0.0,14.981000000000002,77.74406
23,2019-02-06,0.0,0.0,0.0,0.0,0.0,9.156,26.025536
24,2019-02-07,0.0,0.0,0.0,0.0,0.0,9.124,-1.4537778
25,2019-02-08,186.79707078925955,14.55135438596491,64.81400324149108,134.2567077592458,26.831884057971013,14.964,10.672587
26,2019-02-09,0.0,0.0,0.0,0.0,0.0,9.155,-5.530734
27,2019-02-10,0.0,0.0,0.0,0.0,0.0,3.271,-9.354432
28,2019-02-11,0.0,0.0,0.0,0.0,0.0,3.317,-15.9398
29,2019-02-12,0.0,0.0,0.0,0.0,0.0,9.158,-27.809486
30,2019-02-13,0.0,0.0,0.0,0.0,0.0,9.167,-31.895382
31,2019-02-14,0.0,0.0,0.0,0.0,0.0,3.283,-17.655994
32,2019-02-15,0.0,0.0,0.0,0.0,0.0,3.328,-24.927975
33,2019-02-16,0.0,0.0,43.209335494327384,26.851341551849163,0.0,9.178,-20.5129
34,2019-02-17,0.0,0.0,0.0,0.0,0.0,9.158,-14.4662695
35,2019-02-18,0.0,0.0,0.0,0.0,0.0,3.289,-26.434721
36,2019-02-19,0.0,0.0,0.0,0.0,0.0,9.123,-30.051178
37,2019-02-20,94.40282072145376,68.59924210526314,144.03111831442462,147.68237853517041,147.57536231884058,9.132,-3.3204927
38,2019-02-21,0.0,0.0,0.0,0.0,0.0,9.179,13.9773
39,2019-02-22,0.0,0.0,0.0,0.0,0.0,9.147,-12.520432
40,2019-02-23,0.0,0.0,0.0,0.0,0.0,3.339,-21.75447
41,2019-02-24,0.0,0.0,0.0,0.0,0.0,9.172,-25.841358
42,2019-02-25,0.0,0.0,0.0,0.0,0.0,9.178,-32.26274
43,2019-02-26,0.0,0.0,0.0,0.0,0.0,3.359,-30.540037
44,2019-02-27,0.0,0.0,0.0,0.0,0.0,15.001,-29.835218
45,2019-02-28,0.0,0.0,0.0,0.0,0.0,3.371,-32.596115
46,2019-03-01,0.0,0.0,0.0,0.0,0.0,9.194,-31.860178
47,2019-03-02,0.0,0.0,0.0,0.0,0.0,11.16,-30.136591
48,2019-03-03,0.0,0.0,0.0,0.0,0.0,5.594,-30.708103
49,2019-03-04,0.0,0.0,0.0,0.0,0.0,11.36,-30.96125
50,2019-03-05,0.0,0.0,0.0,0.0,0.0,5.577,-31.546999
51,2019-03-06,0.0,0.0,0.0,0.0,0.0,11.363,-33.16255
52,2019-03-07,66.28283157038241,5.196912280701754,0.0,0.0,0.0,11.406,-32.586075
53,2019-03-08,64.27426091673448,59.2448,4.801037277147488,120.83103698332123,10.732753623188406,11.378,-12.485671
54,2019-03-09,0.0,0.0,0.0,0.0,0.0,11.411,-11.47584
55,2019-03-10,0.0,0.0,0.0,0.0,0.0,11.349,-23.022194
56,2019-03-11,0.0,0.0,0.0,0.0,0.0,11.402,-27.288294
57,2019-03-12,0.0,0.0,0.0,0.0,0.0,11.399,-30.35233
58,2019-03-13,2.0085706536479524,25.984561403508767,57.61244732576984,16.1108049311095,16.09913043478261,5.553,-29.23667
59,2019-03-14,0.0,0.0,0.0,0.0,0.0,11.41,-20.885006
60,2019-03-15,0.0,0.0,4.801037277147488,0.0,0.0,5.606,-26.692944
61,2019-03-16,52.22283699484676,111.21392280701752,96.02074554294975,40.27701232777375,201.2391304347826,11.358,-17.59486
62,2019-03-17,0.0,0.0,0.0,2.6851341551849166,0.0,11.381,6.123876
63,2019-03-18,0.0,0.0,0.0,0.0,0.0,5.571,-19.138134
64,2019-03-19,0.0,0.0,0.0,0.0,0.0,11.446,-29.0611
65,2019-03-20,0.0,0.0,0.0,0.0,0.0,5.564,-25.9111
66,2019-03-21,247.05419039869813,154.86798596491226,393.68505672609393,416.19579405366204,456.14202898550724,22.992,46.020775
67,2019-03-22,118.50566856522919,73.7961543859649,172.83734197730953,241.66207396664245,201.2391304347826,46.266,128.74777
68,2019-03-23,0.0,0.0,0.0,0.0,0.0,63.829,84.83252
69,2019-03-24,0.0,19.748266666666662,88.81918962722852,13.425670775924582,67.07971014492753,34.693,32.51324
70,2019-03-25,0.0,0.0,0.0,0.0,0.0,23.082,14.523984
71,2019-03-26,0.0,0.0,0.0,0.0,0.0,28.888,-13.783963
72,2019-03-27,0.0,0.0,0.0,0.0,0.0,23.049,-21.116634
73,2019-03-28,66.28283157038241,0.0,2.400518638573744,0.0,0.0,17.239,-17.40031
74,2019-03-29,245.04561974505015,5.196912280701754,0.0,13.425670775924582,0.0,17.194,-25.731668
75,2019-03-30,0.0,0.0,0.0,0.0,0.0,23.085,-32.52163
76,2019-03-31,30.128559804719284,48.850975438596485,98.42126418152348,67.1283538796229,67.07971014492753,23.068,-6.0039234
77,2019-04-01,0.0,0.0,9.602074554294976,13.425670775924582,13.415942028985507,23.108,2.7154326
78,2019-04-02,0.0,0.0,0.0,0.0,0.0,17.845,-12.556958
79,2019-04-03,0.0,0.0,0.0,0.0,0.0,11.912,-17.647718
80,2019-04-04,0.0,0.0,0.0,0.0,0.0,17.868,-22.305899
81,2019-04-05,0.0,0.0,0.0,0.0,0.0,11.958,-28.323175
82,2019-04-06,0.0,1.0393824561403509,0.0,0.0,0.0,17.863,-26.871824
83,2019-04-07,18.07713588283157,78.99306666666665,132.02852512155593,107.40536620739665,362.2304347826087,23.67,-2.2366152
84,2019-04-08,0.0,0.0,0.0,0.0,0.0,11.974,18.630514
85,2019-04-09,0.0,0.0,0.0,0.0,0.0,18.098,-13.739491
86,2019-04-10,144.61708706265256,152.78922105263155,276.05964343598055,187.95939086294416,456.14202898550724,30.079999999999995,18.398996
87,2019-04-11,626.674043938161,117.45021754385965,103.22230145867097,53.70268310369833,80.49565217391304,24.209,80.83491
88,2019-04-12,0.0,0.0,0.0,0.0,0.0,23.774,30.13957
89,2019-04-13,0.0,0.0,0.0,0.0,0.0,29.607,4.7970033
90,2019-04-14,0.0,0.0,0.0,0.0,0.0,23.689,-15.475108
91,2019-04-15,20.08570653647952,3.1181473684210523,45.609854132901134,107.40536620739665,26.831884057971013,35.481,-14.2669735
92,2019-04-16,0.0,0.0,0.0,0.0,0.0,28.996999999999996,-21.312069
93,2019-04-17,0.0,0.0,0.0,0.0,0.0,23.111,-12.49174
94,2019-04-18,0.0,0.0,0.0,0.0,0.0,34.859,-19.837545
95,2019-04-19,0.0,0.0,0.0,0.0,0.0,23.212,-20.092567
96,2019-04-20,0.0,0.0,0.0,0.0,0.0,23.302,-12.317936
97,2019-04-21,0.0,0.0,7.20155591572123,5.370268310369833,0.0,29.509,-17.341492
98,2019-04-22,0.0,0.0,7.20155591572123,2.6851341551849166,0.0,17.823,-14.080037
99,2019-04-23,0.0,0.0,0.0,0.0,0.0,23.633,-35.39939
100,2019-04-24,0.0,0.0,0.0,0.0,0.0,17.895,-16.555344
101,2019-04-25,50.2142663411988,55.08727017543859,129.62800648298216,214.8107324147933,147.57536231884058,41.062,6.0258837
102,2019-04-26,243.03704909140222,66.52047719298245,386.4835008103728,416.19579405366204,308.56666666666666,29.278999999999996,90.14172
103,2019-04-27,522.2283699484676,129.92280701754385,93.620226904376,80.5540246555475,174.4072463768116,34.903,112.22598
104,2019-04-28,0.0,0.0,0.0,0.0,0.0,52.935,70.726
105,2019-04-29,0.0,0.0,4.801037277147488,2.6851341551849166,2.6831884057971016,47.076,22.077692
106,2019-04-30,0.0,17.669501754385962,0.0,0.0,0.0,41.227,-9.434327
107,2019-05-01,0.0,0.0,0.0,0.0,0.0,35.373,-22.704823
108,2019-05-02,0.0,0.0,0.0,0.0,0.0,27.485,-28.884537
109,2019-05-03,0.0,0.0,0.0,0.0,0.0,21.869,-22.584538
110,2019-05-04,0.0,0.0,0.0,0.0,0.0,22.366,-29.795603
111,2019-05-05,0.0,0.0,0.0,0.0,0.0,28.597,-21.740566
112,2019-05-06,0.0,0.0,0.0,0.0,0.0,11.505,-13.092277
113,2019-05-07,18.07713588283157,0.0,0.0,0.0,0.0,17.54,-20.747288
114,2019-05-08,0.0,0.0,0.0,0.0,0.0,6.392,-18.533514
115,2019-05-09,0.0,0.0,0.0,0.0,0.0,12.313,-30.206001
116,2019-05-10,0.0,0.0,0.0,0.0,0.0,12.558,-21.485764
117,2019-05-11,0.0,0.0,0.0,0.0,0.0,12.891,-32.99526
118,2019-05-12,0.0,0.0,0.0,0.0,0.0,12.537,-33.31131
119,2019-05-13,0.0,15.590736842105262,0.0,0.0,0.0,7.72,-32.911392
