,date,0,1,2,3,4,0,0
57,2021-08-10 19:00:00,47.77863359639233,0.0,0.0,0.0,0.0,68.938,49.304867
58,2021-08-10 20:00:00,131.39124239007893,0.0,1453.016502857143,48.15869090909091,0.0,71.105,49.490852
59,2021-08-10 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,49.26045
60,2021-08-10 22:00:00,0.0,0.0,0.0,0.0,0.0,203.977,50.3709
61,2021-08-10 23:00:00,0.0,0.0,0.0,0.0,0.0,23.021,54.020008
62,2021-08-11 00:00:00,0.0,0.0,0.0,0.0,0.0,0.5,69.66
63,2021-08-11 01:00:00,0.0,0.0,0.0,0.0,0.0,133.333,44.397614
64,2021-08-11 02:00:00,0.0,0.0,0.0,0.0,0.0,133.361,42.989254
65,2021-08-11 03:00:00,0.0,0.0,0.0,0.0,0.0,133.389,43.921463
66,2021-08-11 04:00:00,0.0,0.0,0.0,0.0,0.0,133.417,44.23862
67,2021-08-11 05:00:00,0.0,0.0,0.0,0.0,0.0,0.5,42.959778
68,2021-08-11 06:00:00,0.0,0.0,0.0,0.0,0.0,266.389,45.790142
69,2021-08-11 07:00:00,0.0,0.0,0.0,0.0,0.0,0.5,52.41871
70,2021-08-11 08:00:00,0.0,0.0,0.0,0.0,0.0,133.5,44.426014
71,2021-08-11 09:00:00,0.0,0.0,60.54235428571429,0.0,0.0,133.5,60.818855
72,2021-08-11 10:00:00,0.0,0.0,0.0,0.0,0.0,0.5,82.20848
73,2021-08-11 11:00:00,0.0,0.0,0.0,0.0,0.0,203.98600000000002,117.73701
74,2021-08-11 12:00:00,0.0,0.0,0.0,0.0,0.0,71.088,72.00188
75,2021-08-11 13:00:00,0.0,0.0,0.0,0.0,0.0,71.483,48.321667
76,2021-08-11 14:00:00,0.0,0.0,0.0,0.0,0.0,71.55,127.34526
77,2021-08-11 15:00:00,0.0,0.0,0.0,0.0,0.0,133.583,110.532265
78,2021-08-11 16:00:00,0.0,0.0,0.0,0.0,0.0,0.5,154.13152
79,2021-08-11 17:00:00,0.0,0.0,0.0,0.0,0.0,133.611,50.43189
80,2021-08-11 18:00:00,0.0,0.0,0.0,0.0,0.0,1.4309999999999998,19.200361
81,2021-08-11 19:00:00,0.0,0.0,0.0,0.0,0.0,204.201,74.20992
82,2021-08-11 20:00:00,0.0,0.0,0.0,0.0,0.0,71.318,7.2485857
83,2021-08-11 21:00:00,0.0,0.0,0.0,0.0,0.0,71.203,7.30498
84,2021-08-11 22:00:00,0.0,0.0,0.0,0.0,0.0,71.154,7.3071604
85,2021-08-11 23:00:00,0.0,0.0,0.0,0.0,0.0,21.880000000000003,7.307543
86,2021-08-12 00:00:00,0.0,0.0,0.0,0.0,0.0,0.5,7.3845224
87,2021-08-12 01:00:00,0.0,0.0,0.0,0.0,0.0,133.667,7.4144597
88,2021-08-12 02:00:00,0.0,0.0,0.0,0.0,0.0,0.5,7.551376
89,2021-08-12 03:00:00,0.0,0.0,0.0,0.0,0.0,133.694,8.172979
90,2021-08-12 04:00:00,0.0,0.0,0.0,0.0,0.0,0.5,7.583205
91,2021-08-12 05:00:00,0.0,0.0,0.0,0.0,0.0,0.5,7.3681006
92,2021-08-12 06:00:00,0.0,0.0,0.0,0.0,0.0,133.694,8.513956
93,2021-08-12 07:00:00,0.0,0.0,0.0,0.0,0.0,0.5,8.480977
94,2021-08-12 08:00:00,0.0,0.0,0.0,0.0,0.0,133.75,11.575433
95,2021-08-12 09:00:00,0.0,0.0,0.0,0.0,0.0,0.5,6.9705505
96,2021-08-12 10:00:00,0.0,0.0,0.0,0.0,0.0,1.3140000000000003,6.9705358
